fighter_a,fighter_b,date,label,height_diff,reach_diff,age_diff,wins_diff,losses_diff,win_streak_diff,slpm_diff,sapm_diff,td_avg_diff,sub_avg_diff,kd_avg_diff,ctrl_avg_diff,ko_rate_diff,sub_rate_diff,southpaw_diff
Santiago Ponzinibbio,Neil Magny,2018-11-17,1,-3.0,-7.0,0.8514715947980847,-6.0,-3.0,4.0,0.3891678337194264,1.9716946255799126,-2.1964590790857326,-0.3453038674033149,0.9731855618762115,-10.136484262086428,0.14285714285714285,-0.07142857142857142,0.0
Darren Elkins,Ricardo Lamas,2018-11-17,0,2.0,0.0,-1.9876796714579044,5.0,0.0,1.0,0.3667838155283065,0.028268015607927577,1.261594596235237,0.3621209190832886,-0.07628028482772833,10.653490184341818,-0.11904761904761904,-0.26190476190476186,0.0
Guido Cannetti,Marlon Vera,2018-11-17,0,-2.0,-2.0,12.955509924709105,-3.0,-2.0,0.0,-0.5378486203148212,-2.2619470951348517,1.9688404410415654,-0.7479418652136259,-0.41564039408867,11.897998040998951,-0.4,-0.4,1.0
Alexandre Pantoja,Yuta Sasaki,2018-11-17,1,-5.0,-4.0,-0.5229295003422294,-1.0,-3.0,0.0,2.2916477527817403,0.8634976115649753,-2.356030098882827,0.09688831874321435,0.2607939727615184,6.0126768629606655,0.0,-0.6666666666666667,-1.0
Bartosz Fabinski,Michel Prazeres,2018-11-17,0,6.0,8.0,-4.752908966461327,-6.0,-2.0,-4.0,-0.23980398039803985,-1.3512051205120512,3.1816681668166815,-0.6075607560756077,-0.10126012601260127,30.519521952195223,0.0,-0.2222222222222222,0.0
Humberto Bandenay,Austin Arnett,2018-11-17,0,-1.0,-1.0,-2.8692676249144426,1.0,-1.0,1.0,1.189075630252101,-1.5126050420168067,-0.6302521008403361,7.5,7.5,-1.8571428571428572,1.0,0.0,1.0
Poliana Botelho,Cynthia Calvillo,2018-11-17,0,4.0,3.0,-1.4264202600958242,-1.0,-1.0,3.0,1.4567988668555243,-1.4807011331444757,-0.6559844192634559,-2.5495750708215295,0.9375,-12.228576487252123,0.5,-0.6666666666666666,0.0
Curtis Blaydes,Francis Ngannou,2018-11-24,0,0.0,-3.0,-4.454483230663925,-1.0,-1.0,7.0,2.408412807800797,0.4973766425902464,5.629221916437328,-0.4641567818463125,-0.47106629611197565,24.905953833606254,-0.2666666666666666,-0.16666666666666666,0.0
Song Kenan,Alex Morono,2018-11-24,0,1.0,-1.0,0.43531827515400323,-1.0,-2.0,3.0,0.758169445898452,1.309354669857175,0.0,-0.7234726688102894,2.5495401181485082,-2.7032079563299183,1.0,-0.3333333333333333,0.0
Yan Xiaonan,Syuri Kondo,2018-11-24,1,1.0,-3.0,-0.3504449007529118,1.0,-1.0,3.0,-2.9958333333333336,-3.3,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
Kamaru Usman,Rafael Dos Anjos,2018-11-30,1,4.0,6.0,-2.5379876796714598,-9.0,-8.0,9.0,-0.06844948750233604,-1.7205116739818374,1.7358639496520594,-0.3825133890086775,0.17759960080735931,16.90379037349434,-0.11029411764705882,-0.05147058823529413,-1.0
Bryan Caraway,Pedro Munhoz,2018-11-30,0,2.0,3.0,2.0917180013689247,0.0,0.0,-2.0,-2.324808275030556,-1.7248614470901265,1.2830014751624848,-0.3853287686703969,-0.4951402897487621,12.892697847640319,-0.16666666666666666,0.16666666666666663,0.0
Joseph Benavidez,Alex Perez,2018-11-30,1,-2.0,0.0,7.638603696098567,9.0,3.0,-4.0,-1.4222610361438992,-0.18646646195453132,-2.7893906527312167,-1.4278671437022847,-0.25903597487111585,-14.917795870073526,-0.08333333333333331,-0.25,1.0
Mark Hunt,Justin Willis,2018-12-01,0,-3.0,-6.0,13.322381930184804,5.0,7.0,-5.0,-2.2505156299845552,-0.5337915307182817,-1.329267252679223,0.10281014393420151,-0.09917783470150321,-6.454171312337535,0.5416666666666667,0.0,-1.0
Jake Matthews,Anthony Rocco Martin,2018-12-01,0,-1.0,0.0,-4.687200547570157,1.0,-1.0,1.0,0.2375035029204744,-0.8088985169596294,1.5049576627415642,-0.3702792995258005,0.04405437631531228,2.1095644839579997,-0.16666666666666666,0.23809523809523808,0.0
Junior Dos Santos,Tai Tuivasa,2018-12-01,1,2.0,2.0,9.125256673511291,10.0,4.0,-2.0,-0.38207778258826686,0.242611393805773,0.3588230603620126,0.07176461207240252,-0.5097309765325408,-7.143827347594635,-0.05128205128205121,0.0,-1.0
Mauricio Rua,Tyson Pedro,2018-12-01,1,-2.0,-3.0,9.80971937029432,6.0,7.0,0.0,0.9195081202927109,0.9790419245933286,0.6028378108370003,-1.1910700700634973,-0.006711799728526313,-1.1324368007369383,0.4444444444444445,-0.6666666666666666,0.0
Mizuto Hirota,Christos Giagos,2018-12-01,0,-3.0,-4.0,8.720054757015742,0.0,1.0,0.0,1.6557447558610967,1.2741406663141195,0.9240613432046537,-0.4759386567953464,0.0,-0.014609554027851246,0.0,-1.0,0.0
Ben Nguyen,Wilson Reis,2018-12-01,0,1.0,0.0,-3.572895277207394,-2.0,-3.0,2.0,1.9792950012679833,0.3032027867424323,-4.608317156567022,0.7596824655464931,1.000741289844329,-15.115312647582325,0.25,0.16666666666666669,-1.0
Max Holloway,Brian Ortega,2018-12-08,1,3.0,0.0,-0.7830253251197838,9.0,3.0,6.0,2.4986351787532737,-1.4081832468520883,0.2780566926701166,-0.8661061986489393,-0.12023932007058846,1.8897894653909657,0.033333333333333326,-0.3666666666666667,0.0
Valentina Shevchenko,Joanna Jedrzejczyk,2018-12-08,1,-1.0,1.0,-0.553045859000683,-5.0,0.0,0.0,-3.1349110680114722,-0.29798551735588674,1.667503699823632,0.455005055611729,-0.0762582613116421,8.72217678654318,-0.2222222222222222,0.5,1.0
Gunnar Nelson,Alex Oliveira,2018-12-08,1,0.0,-4.0,-0.43258042436687205,-2.0,0.0,-3.0,-1.0373386469430796,1.718078614246076,-1.7725020695622513,0.1941103794266794,-0.3822304681162616,-11.86742155423085,-0.4444444444444444,0.5238095238095237,0.0
Hakeem Dawodu,Kyle Bochniak,2018-12-08,1,1.0,3.0,-4.402464065708418,-1.0,-2.0,2.0,2.315,-2.7441666666666666,-1.0,0.0,-0.2,-1.6849999999999996,0.0,0.0,0.0
Thiago Santos,Jimi Manuwa,2018-12-08,1,1.0,-3.0,-3.885010266940455,5.0,1.0,4.0,1.5279873803500466,-1.6946184079374262,0.2894143736391964,-0.23961075293646658,0.7219680423351272,3.7401453391257657,0.31818181818181823,0.0,0.0
Claudia Gadelha,Nina Nunes,2018-12-08,0,-1.0,-1.0,-3.01163586584531,2.0,1.0,-2.0,-1.5926490466689267,1.159714332789017,3.531676918976132,0.20185447327627948,0.12706480304955528,8.763399815915623,0.0,-0.1333333333333333,0.0
Gilbert Burns,Olivier Aubin-Mercier,2018-12-08,1,1.0,1.0,2.598220396988367,-1.0,0.0,0.0,0.1762278512092319,0.893127634324999,-0.7361951139665259,0.21262839137373646,0.08505135654949458,-9.292364856569955,0.19047619047619047,-0.0714285714285714,-1.0
Jessica Eye,Katlyn Cerminara,2018-12-08,1,-3.0,-2.0,2.4229979466119076,-1.0,4.0,-1.0,-0.7351868460388635,-0.9867862481315393,0.6726457399103138,0.7417040358744396,-0.2,7.887473841554559,0.0,0.0,0.0
Eryk Anders,Elias Theodorou,2018-12-08,0,0.0,0.0,1.111567419575632,-4.0,0.0,-3.0,-1.0687503615980631,1.4426761371980936,0.9042176798088093,0.2066115702479339,0.6198347107438017,-0.013707348117687701,0.38095238095238093,0.0,1.0
Dhiego Lima,Chad Laprise,2018-12-08,1,4.0,4.0,-2.5270362765229315,-5.0,2.0,-3.0,-2.2374009805412864,-0.7168014228379533,1.1478651580215997,1.477832512315271,-0.16498367714683548,5.779050583293355,-0.5,0.0,0.0
Devin Clark,Aleksandar Rakic,2018-12-08,0,-4.0,-3.0,1.8206707734428456,1.0,2.0,-1.0,-1.6542109801667144,1.6111526300661108,1.863035354987065,0.2586950273066973,-0.2413049726933027,2.7908019545846514,0.0,0.0,0.0
Al Iaquinta,Kevin Lee,2018-12-15,1,1.0,-7.0,5.349760438056126,-2.0,0.0,-2.0,0.2171014760126786,1.0775682769758737,-2.3547721911686392,-0.7789692664153443,0.8535428803685138,-21.93065181859917,0.4,-0.4,0.0
Edson Barboza,Dan Hooker,2018-12-15,1,-1.0,0.0,4.062970568104042,6.0,3.0,-6.0,-0.3816479557354975,-0.3745874137927272,-0.052097833475442834,-0.47002214273943166,-0.27257385990973315,-7.5864432582614345,-0.25274725274725274,-0.2857142857142857,0.0
Rob Font,Sergio Pettis,2018-12-15,1,2.0,2.0,6.149212867898697,-3.0,-1.0,0.0,0.7868282281764305,1.1311413639497858,0.21957310610891678,0.49019909005589996,1.047311540763566,0.01562628258691845,0.8,0.2,0.0
Jim Miller,Charles Oliveira,2018-12-15,0,-2.0,-3.0,6.13278576317591,6.0,3.0,-1.0,-0.13068518329418932,-0.18623585135379273,-1.1641557156210478,-0.5952446409916026,0.04113220589274917,-0.49225820641117046,0.16666666666666666,-0.5277777777777777,1.0
Joaquim Silva,Jared Gordon,2018-12-15,1,-1.0,1.0,-0.41615331964407787,1.0,0.0,0.0,-3.631616555818171,0.2535590611773757,-3.413400758533502,0.32608695652173914,0.32608695652173914,-21.489996152366295,-0.16666666666666669,0.0,1.0
Gerald Meerschaert,Jack Hermansson,2018-12-15,0,0.0,0.0,0.47912388774811987,0.0,-1.0,1.0,-0.5343983889090138,1.6678107213684448,1.002388393268292,1.6645688919451591,0.49916805324459235,-3.3003665477586566,-0.5,0.75,1.0
Zak Cummings,Trevor Smith,2018-12-15,1,-3.0,0.0,-3.5728952772073868,1.0,-2.0,0.0,-0.8508381957951285,-0.22080207465036583,-0.7807724367879967,0.279244234509586,0.0930814115031953,-15.121839399833286,0.16666666666666666,0.5,1.0
Drakkar Klose,King Green,2018-12-15,1,-1.0,-1.0,-1.4976043805612598,-2.0,-2.0,0.0,-1.4766296809986126,-1.0386500231160425,1.2198335644937588,-0.15603328710124825,-0.15603328710124825,8.395238095238094,-0.2,-0.2,0.0
Alexander Volkanovski,Chad Mendes,2018-12-29,1,0.0,5.0,-3.4140999315537286,-4.0,-4.0,4.0,2.810175625832302,-0.03811015387642591,0.521086811095044,0.446324787306537,-0.25091723314589554,12.229736157976102,-0.2666666666666666,0.0,0.0
Alexander Gustafsson,Jon Jones,2018-12-29,0,1.0,-5.0,0.5065023956194388,-6.0,3.0,-11.0,-0.07472871412802018,1.395802086751811,-0.4891689064758742,-0.13588025179885388,0.6296869872283412,-4.1826192613647155,0.25,-0.11249999999999999,0.0
Cristiane Justino,Amanda Nunes,2018-12-29,0,0.0,-1.0,2.891170431211499,-4.0,-1.0,-2.0,2.2770192226873576,-0.5081463378085991,-0.9369077651015977,-0.6734006734006734,0.2732623877998328,-4.274493114434376,0.24444444444444446,-0.2222222222222222,0.0
Carlos Condit,Michael Chiesa,2018-12-29,0,1.0,0.0,3.613963039014372,0.0,4.0,-2.0,1.8777512292019702,0.12421852462837757,-2.3432334868253424,-0.6006355444688436,0.20567922926482857,-14.840285123223264,0.5714285714285714,-0.7142857142857143,-1.0
Ilir Latifi,Corey Anderson,2018-12-29,0,-5.0,-6.0,7.154004106776181,-1.0,-1.0,0.0,-2.1967864986082546,0.4252967199150297,-3.1697863250619602,0.6921302230197386,0.9228402973596515,-13.822029099678723,0.17857142857142855,0.2857142857142857,0.0
Douglas Silva de Andrade,Petr Yan,2018-12-29,0,0.0,1.0,7.641341546885691,1.0,2.0,-1.0,-2.852348452061902,0.34395488305453314,0.8935219657483245,0.0,-1.1777877535879318,1.0153866417928499,-0.16666666666666669,0.0,0.0
BJ Penn,Ryan Hall,2018-12-29,0,-1.0,0.0,6.195756331279945,10.0,11.0,-7.0,0.5434913050725041,3.0068596403503896,0.4500527807100393,0.05003055725318073,0.3500194455247514,-5.7094912680334104,0.5,0.3333333333333333,-1.0
Curtis Millender,Siyar Bahadurzada,2018-12-29,1,3.0,3.0,-3.6221765913757693,-2.0,-2.0,-1.0,0.025882640989247196,0.9583888646526848,-0.6114647388854716,-0.49166894291177277,0.0062428795084885635,-10.88359991803643,-0.25,-0.25,0.0
Henry Cejudo,TJ Dillashaw,2019-01-19,1,-2.0,-3.0,-1.0047912388774805,-5.0,-1.0,-1.0,-1.9604235073366953,-0.33431105635069125,0.6232249800940985,-0.8436859613728686,-0.3588937650518316,0.8305198136704668,-0.4404761904761905,-0.08333333333333333,0.0
Yancy Medeiros,Gregor Gillespie,2019-01-19,0,3.0,4.0,-0.8158795345653651,1.0,5.0,-6.0,1.3042597337747406,3.6232211187976047,-6.6946604186551,-0.4628522009361872,0.6937287965081922,-41.0739185532297,-0.06666666666666671,0.09999999999999998,0.0
Dustin Ortiz,Joseph Benavidez,2019-01-19,0,1.0,0.0,-4.402464065708418,-5.0,2.0,2.0,-1.114924899029441,-0.6329680630819703,1.6450226759957278,-0.22430398370490473,-0.1306710249034066,11.606570013218708,0.1923076923076923,-0.07692307692307693,-1.0
Paige VanZant,Rachael Ostovich,2019-01-19,1,1.0,3.0,-3.080082135523611,3.0,2.0,-1.0,0.7872463503061122,-0.9025146667461361,0.4757941026025182,-1.166889629239844,0.17653981953707337,17.788318775108806,0.5,-0.75,0.0
Karl Roberson,Glover Teixeira,2019-01-19,0,-1.0,-2.0,-10.934976043805609,-8.0,-4.0,2.0,-0.8927005373723875,-2.2379263672719585,-0.10031419645486217,0.5729981393489062,-0.40413111809609337,1.7079090765664642,-0.4,0.2,1.0
Alexander Hernandez,Donald Cerrone,2019-01-19,0,-4.0,-1.0,-9.511293634496923,-19.0,-8.0,1.0,-1.6781728067436772,-3.2493560724320947,2.626053699656572,-0.6181704651888854,-0.017854355291913704,19.447080861692164,0.07142857142857145,-0.2857142857142857,0.0
Belal Muhammad,Geoff Neal,2019-01-19,0,0.0,-3.0,2.1355236139630414,3.0,2.0,2.0,-3.315126664615274,0.4543746399771984,2.4825303420375135,-1.4678918065985882,-3.266787658802178,6.154472559504301,-0.3,-0.5,-1.0
Marlon Moraes,Raphael Assuncao,2019-02-02,1,1.0,1.0,-5.77138945927447,-8.0,-1.0,-1.0,-0.5854769407138662,0.3211571718091877,-0.7393870926901613,0.2814419442246664,1.2155363915521182,-4.457310304137737,0.4848484848484848,-0.09090909090909091,0.0
Demian Maia,Lyman Good,2019-02-02,1,1.0,-2.0,7.55099247091033,17.0,8.0,-4.0,-3.949384940930824,-2.627530950055455,1.8936642984479914,0.9960343078483814,-1.151341512852242,20.571251087957176,-0.9473684210526316,0.47368421052631576,1.0
Charles Oliveira,David Teymur,2019-02-02,1,1.0,1.0,-0.4626967830253257,8.0,8.0,-2.0,-1.7860511767304685,-0.3872927989036836,1.9383928350005557,2.6567481402763016,-0.41231261544339903,12.416644240068997,-0.4,0.9230769230769231,-1.0
Renato Moicano,Jose Aldo,2019-02-02,0,4.0,2.0,-2.6967830253251215,-4.0,-2.0,1.0,2.4164870382061707,0.05270945282372308,0.40015065498227875,0.20606970898590896,-0.07868053881991904,-4.339032474095518,-0.3333333333333333,0.4,0.0
Max Griffin,Thiago Alves,2019-02-02,0,2.0,6.0,-2.1574264202600943,-12.0,-7.0,1.0,-0.1586038846943678,0.23293568202421078,-0.48139311773260457,-0.08364073437506941,0.03318664213017419,-0.3054513919384121,0.0,-0.07142857142857142,0.0
Anderson Silva,Israel Adesanya,2019-02-09,0,-2.0,-3.0,14.272416153319647,13.0,4.0,-3.0,-1.4955670791250628,0.20670424811680066,0.21445591739475772,0.14836320636058775,0.16454099065283545,1.6191451474570124,0.1470588235294118,0.17647058823529413,1.0
Ricky Simon,Rani Yahya,2019-02-09,1,0.0,2.0,-7.967145790554415,-9.0,-3.0,-1.0,0.28651732005807906,2.1452188342667493,1.3263845675171124,-1.460174237710019,0.0,-7.620825554864137,0.0,-0.045454545454545414,0.0
Austin Arnett,Shane Young,2019-02-09,0,4.0,0.0,1.7741273100616013,0.0,1.0,0.0,-1.6212036779047083,-0.29952633045416555,-0.4430203399275562,0.0,0.0,6.114516578434104,-1.0,0.0,0.0
Teruto Ishihara,Kyung Ho Kang,2019-02-09,0,-2.0,-4.0,-3.8685831622176607,0.0,2.0,-1.0,-0.04246677368170282,1.4072176959011844,-1.01784398220593,-1.6466283324621014,1.047973917093619,-17.3334411112553,0.6666666666666666,-0.6666666666666666,1.0
Francis Ngannou,Cain Velasquez,2019-02-17,1,3.0,6.0,-4.106776180698148,-5.0,0.0,0.0,-4.526397864917065,-0.41582136129905045,-4.61121157323689,0.05021320522345901,-0.4420690687574218,-33.81799446575629,-0.11904761904761907,0.14285714285714285,0.0
James Vick,Paul Felder,2019-02-17,0,4.0,6.0,-2.830937713894592,2.0,-2.0,0.0,0.6398041305129167,0.089431477372377,-0.040718203855809154,0.43271683033672115,0.2749051522725443,-6.586483625207297,-0.3492063492063492,0.19047619047619047,0.0
Cortney Casey,Cynthia Calvillo,2019-02-17,0,3.0,3.0,0.18891170431211535,0.0,4.0,0.0,1.3838374771292261,1.522929980099084,-1.623232886549502,-2.0679094871217014,0.0,-12.497549628146999,0.25,-0.5,0.0
Bryan Barberena,Vicente Luque,2019-02-17,0,1.0,-3.0,2.56810403832991,-2.0,1.0,-2.0,1.2664280058485167,0.6727134855232451,-1.140397916989606,-0.6458924224841114,-0.37846731994654226,-7.343409735518009,0.02857142857142858,-0.22857142857142854,1.0
Scott Holtzman,Nik Lentz,2019-02-17,0,1.0,1.0,0.8706365503080065,-8.0,-4.0,2.0,1.093924695823742,0.303547352844459,-0.6259248602433405,-0.954044722130878,0.318932916803683,2.802096349884909,-0.03076923076923077,0.046153846153846156,0.0
Aljamain Sterling,Jimmie Rivera,2019-02-17,1,3.0,3.0,-0.08761122518822617,2.0,2.0,1.0,-0.5214005420265857,-1.901529290054261,1.3630809836193962,0.9990133201776025,-0.5807700580770059,17.728861594543783,-0.04166666666666666,0.375,0.0
Luke Sanders,Renan Barao,2019-02-17,1,0.0,-3.0,1.1362080766598197,-7.0,-3.0,2.0,2.073386029240857,-0.3410315132880375,-1.1048140165236737,0.08519920584546364,0.5904030784094463,3.281158958933629,-0.2222222222222222,0.16666666666666669,1.0
Myles Jury,Andre Fili,2019-02-17,0,-1.0,-1.0,1.648186173853528,2.0,-2.0,0.0,-1.1118726908195158,-2.246501420868093,-0.3013021229772175,0.06884250917477774,-0.052877804593142175,9.224217659084387,0.041666666666666685,0.125,0.0
Emily Whitmire,Aleksandra Albu,2019-02-17,1,3.0,0.0,-0.8596851471594817,-1.0,1.0,-1.0,-1.6570178612545643,-1.9838163218315188,-2.3103680799973683,-0.6364922206506365,0.0,8.063961711785797,0.0,-0.5,0.0
Petr Yan,John Dodson,2019-02-23,1,4.0,1.0,-8.37782340862423,-6.0,-5.0,4.0,3.691041207780991,0.006346518699323678,0.8765709008147246,0.5269320843091335,0.3496388165055909,5.379929852338073,0.2222222222222222,0.0,0.0
Jan Blachowicz,Thiago Santos,2019-02-23,0,0.0,2.0,0.8678986995208717,-6.0,-1.0,1.0,-1.3501932612526577,0.8385197549446612,0.6324474725389565,0.23008220632598944,-1.1370756244502522,-1.469653497955516,-0.6666666666666667,0.3333333333333333,0.0
Marcos Rogerio de Lima,Stefan Struve,2019-02-23,0,-10.0,-9.0,2.6502395619438737,-7.0,-6.0,4.0,0.17772367347806517,-2.211464765755857,0.7162261803396264,-0.5455402927226609,0.9866047102815451,17.49689229726086,0.1833333333333333,-0.21666666666666667,0.0
Liz Carmouche,Lucie Pudilova,2019-02-23,1,-2.0,-1.0,10.313483915126628,2.0,2.0,2.0,-2.815697612164043,-2.8457329478530893,3.1802120141342756,-0.21088981689688407,-0.5,9.804020773102048,0.25,0.0,0.0
Gillian Robertson,Veronica Hardy,2019-02-23,1,1.0,-1.0,0.4544832306639286,2.0,-1.0,1.0,0.41999898550969705,-2.5331822869993066,3.685136026241483,1.5724599699034547,0.0,26.521481832169485,0.0,1.0,-1.0
Damir Hadzovic,Marco Polo Reyes,2019-02-23,1,-2.0,-1.0,-1.7494866529774171,-2.0,1.0,0.0,-4.047262925851481,-1.6921700367846144,0.0,0.34207525655644244,-1.5077637586844848,-5.251718846241643,-0.25,0.0,0.0
Diego Ferreira,Rustam Khabilov,2019-02-23,1,1.0,1.0,1.793292265571523,-4.0,0.0,-3.0,2.4080034240410284,1.2106126832541013,-3.140820070119083,1.0940548657422022,0.49385479905330604,-2.0233732643245492,0.4888888888888889,0.2,0.0
Anthony Smith,Jon Jones,2019-03-02,0,0.0,-8.0,-1.0212183436002746,-10.0,2.0,-11.0,-0.6139682087878202,2.435643295957819,-1.531447276128127,0.0742088623679742,0.5982454178568887,-10.278910112397625,0.42016806722689076,-0.1512605042016807,0.0
Tyron Woodley,Kamaru Usman,2019-03-02,0,-3.0,-2.0,5.092402464065707,0.0,2.0,-3.0,-0.9918280035443638,0.5740949453169288,-3.9744103944113354,-0.09885921597576786,0.7879108986438377,-26.307451351603365,0.4444444444444445,0.0,0.0
Tecia Pennington,Zhang Weili,2019-03-02,0,-3.0,-3.0,-0.008213552361397092,4.0,3.0,-4.0,-2.089264410771671,0.8124779361734316,-0.7716035348420376,-1.4865512377415477,0.11915795048325167,4.7757783740071496,0.0,-0.33333333333333337,0.0
Pedro Munhoz,Cody Garbrandt,2019-03-02,1,-2.0,0.0,4.829568788501028,1.0,1.0,4.0,1.5627973132246193,2.011806528308186,0.12081349658440854,1.1225944404846757,-1.1617231616006662,4.007599794106129,-0.38095238095238093,0.42857142857142855,0.0
Jeremy Stephens,Zabit Magomedsharipov,2019-03-02,0,-4.0,-2.0,4.76659822039699,11.0,14.0,-5.0,-1.396135547968409,0.4087681170818649,-6.088048840777126,-0.8319264425966131,0.7698522073848786,-16.133875894827902,0.4666666666666667,-0.75,0.0
Johnny Walker,Misha Cirkunov,2019-03-02,1,3.0,5.0,-5.086926762491444,-3.0,-2.0,1.0,1.3325830239707042,-1.111857687591339,-4.45986124876115,-2.229930624380575,10.169491525423728,-11.202902689355126,0.8,-0.8,0.0
Alejandro Perez,Cody Stamann,2019-03-02,0,0.0,3.0,0.18617385352498417,4.0,0.0,7.0,-1.3542785775676838,-1.0171805615241367,-3.8293672110012893,0.1802884615384615,0.0,-9.269490402521129,0.42857142857142855,0.0,0.0
Diego Sanchez,Mickey Gall,2019-03-02,1,-4.0,-2.0,10.05886379192334,13.0,10.0,0.0,1.2823835458947552,0.8372809025984784,-0.9544594750709503,-4.399165436023489,-0.8905727397109647,-7.805689677490294,0.29411764705882354,-1.0,1.0
Derrick Lewis,Junior Dos Santos,2019-03-09,0,-1.0,2.0,-1.0239561943874023,-2.0,0.0,-3.0,-2.0221414099376696,-0.8340865377368094,0.1472980598028265,-0.06927873142945117,-0.4069317916327827,5.192125372420158,0.19047619047619047,0.0,0.0
Elizeu Zaleski dos Santos,Curtis Millender,2019-03-09,1,-3.0,-3.0,0.9719370294318921,3.0,1.0,3.0,-0.0946212455398836,-0.02833222264141,-0.020613147918876695,0.5418422636965684,-0.4024544716354656,5.02460678568482,0.16666666666666669,0.0,0.0
Niko Price,Tim Means,2019-03-09,1,-2.0,1.0,-5.607118412046546,-6.0,-5.0,-2.0,-2.2342506073976884,0.6031526248111199,1.1287254601400258,2.185974323545761,-0.11582626926347606,9.434297235907145,0.0,0.4,0.0
Beneil Dariush,Drew Dober,2019-03-09,1,2.0,2.0,-0.5448323066392895,3.0,0.0,-2.0,-0.8607951398500955,-1.5848109467692004,0.5005896407228225,0.7278615619961378,-0.11363596063665754,7.643377196706357,-0.2222222222222222,0.16666666666666666,0.0
Omari Akhmedov,Tim Boetsch,2019-03-09,1,0.0,-1.0,-6.702258726899384,-7.0,-8.0,3.0,-0.0014136906328907628,-0.20490616463888456,1.8571867082542683,-0.45632985904161766,-0.15969175752546744,5.777801002904253,-0.18333333333333335,0.0,0.0
Marion Reneau,Yana Santos,2019-03-09,0,0.0,0.0,12.394250513347025,4.0,2.0,-2.0,-1.014018652240511,-1.7413136486847511,-4.582360825855009,0.5558468718877531,0.0,-33.92372683492928,0.4,0.4,0.0
Matt Schnell,Louis Smolka,2019-03-09,1,-1.0,2.0,1.4976043805612562,-4.0,-3.0,1.0,-0.2777817680392274,0.3236862384654895,-1.3563162589983067,-1.429916788533022,-0.11661052086032651,-19.037721996310587,-0.3333333333333333,-0.3333333333333333,0.0
Zak Ottow,Alex Morono,2019-03-09,0,0.0,0.0,3.649555099247088,0.0,1.0,0.0,-1.4886769294193702,-0.21055664346147696,0.8137432188065099,-0.1760299450008901,0.21257109126853993,5.3600474097949,0.25,-0.25,0.0
Sergio Moraes,Anthony Rocco Martin,2019-03-09,0,0.0,-1.0,7.386721423682406,1.0,-2.0,-1.0,-0.05011400402819843,0.39652509548006476,0.37316394407632214,-0.7456859776983851,-0.10036846025835455,-7.1783331849563154,-0.01785714285714285,-0.05357142857142855,0.0
Nathaniel Wood,Jose Quinonez,2019-03-16,1,-2.0,0.0,-2.7789185489390817,-2.0,-1.0,-2.0,1.1115709135062133,0.10107668099763334,-1.4815824360991685,0.4363717461064788,0.2181858730532394,10.066434562822913,0.0,0.75,-1.0
Jorge Masvidal,Darren Till,2019-03-16,1,-1.0,0.0,8.114989733059549,4.0,5.0,-1.0,1.8778293739554663,0.4803978855354414,0.530322331933392,0.5264917265585826,-0.2218087060074403,4.642593785433099,-0.06666666666666671,0.1111111111111111,-1.0
Gunnar Nelson,Leon Edwards,2019-03-16,0,-3.0,-2.0,3.0746064339493486,0.0,1.0,-5.0,-0.43140288829944007,1.740992484526967,0.540450928381963,0.6728006189213086,-0.16329575596816975,0.47043545534924647,-0.25,0.75,-1.0
Dominick Reyes,Volkan Oezdemir,2019-03-16,1,2.0,2.0,-0.268309377138948,1.0,-2.0,6.0,0.7686966503155981,-2.5641285145295627,0.2744109836134878,0.6646971935007385,1.6038053706149649,-0.3021979781726696,-0.16666666666666663,0.25,1.0
Claudio Silva,Danny Roberts,2019-03-16,1,-2.0,-3.0,4.851471594798081,-2.0,-2.0,1.0,-1.1575240548452768,-1.1209148204898862,3.0420086914534044,0.36593035579127176,-0.5032149846239866,14.771907056281432,-0.4,0.1333333333333333,0.0
Arnold Allen,Jordan Rinaldi,2019-03-16,1,-2.0,-2.0,-6.327173169062288,2.0,-2.0,3.0,0.7287691996120698,-0.4722752448385481,0.16826790183511164,-0.8034604792676555,0.27590435315757206,-12.681032454286111,0.0,0.0,1.0
Jack Marshman,John Phillips,2019-03-16,1,1.0,-2.0,-4.528405201916495,2.0,1.0,0.0,0.044855057298040624,-3.6428923286702224,0.0,0.0,0.8907951171230618,-2.397954287688347,0.5,0.0,-1.0
Joe Duffy,Marc Diakiese,2019-03-16,0,0.0,0.0,5.073237508555785,1.0,-1.0,2.0,0.45503018764374215,0.5244483490867018,-1.3798461670757232,0.9814612868047983,0.42829044769072605,-2.9607223782922842,-0.41666666666666663,0.5,0.0
Danny Henry,Dan Ige,2019-03-16,0,5.0,2.0,3.052703627652292,0.0,-1.0,0.0,2.1955645161290325,0.370967741935484,-1.4818548387096775,2.8125,1.875,6.004032258064516,-0.5,0.5,0.0
Anthony Pettis,Stephen Thompson,2019-03-23,1,-2.0,-3.0,-3.9589322381930145,-1.0,4.0,0.0,-0.5908628690341162,1.2746233187360545,0.2287165932943967,0.881575080811049,-0.5933057241946817,1.748505478328311,-0.3055555555555556,0.5,0.0
Justin Willis,Curtis Blaydes,2019-03-23,0,-3.0,-2.0,3.5865845311430498,-1.0,-2.0,5.0,0.23959315816906646,0.3203301429912906,-4.284140275521765,0.0,0.4090760293576784,-18.80721796419943,-0.15000000000000002,0.0,1.0
